type	cluster	name	status	decision	dossier
skill	skill:core-eval	accessibility	pending		
skill	skill:core-memory	agent-architecture-audit	pending		
skill	skill:core-agent	agent-eval	pending		
skill	skill:core-agent	agent-harness-construction	pending		
skill	skill:core-agent	agent-introspection-debugging	pending		
skill	skill:core-token	agent-payment-x402	pending		
skill	skill:core-agent	agent-self-evaluation	pending		
skill	skill:core-agent	agent-sort	pending		
skill	skill:core-token	agentic-engineering	pending		
skill	skill:core-memory	agentic-os	pending		
skill	skill:core-agent	ai-first-engineering	pending		
skill	skill:core-eval	ai-regression-testing	pending		
skill	skill:eng-lang	android-clean-architecture	pending		
skill	skill:eng-lang	angular-developer	pending		
skill	skill:misc	api-connector-builder	pending		
skill	skill:eng-arch	api-design	pending		
skill	skill:core-agent	architecture-decision-records	pending		
skill	skill:misc	article-writing	pending		
skill	skill:core-eval	automation-audit-ops	pending		
skill	skill:core-memory	autonomous-agent-harness	pending		
skill	skill:core-agent	autonomous-loops	pending		
skill	skill:eng-arch	backend-patterns	pending		
skill	skill:core-eval	benchmark-methodology	pending		
skill	skill:core-eval	benchmark-optimization-loop	pending		
skill	skill:core-eval	benchmark	pending		
skill	skill:eng-arch	blender-motion-state-inspection	pending		
skill	skill:eng-arch	blueprint	pending		
skill	skill:core-research	brand-discovery	pending		
skill	skill:eng-arch	brand-voice	pending		
skill	skill:core-eval	browser-qa	pending		
skill	skill:eng-lang	bun-runtime	pending		
skill	skill:core-eval	canary-watch	pending		
skill	skill:vertical	carrier-relationship-management	pending		
skill	skill:core-eval	cisco-ios-patterns	pending		
skill	skill:core-memory	ck	pending		
skill	skill:core-agent	claude-devfleet	pending		
skill	skill:core-eval	click-path-audit	pending		
skill	skill:eng-lang	clickhouse-io	pending		
skill	skill:eng-arch	code-tour	pending		
skill	skill:eng-arch	codebase-onboarding	pending		
skill	skill:core-eval	codehealth-mcp	pending		
skill	skill:core-eval	coding-standards	pending		
skill	skill:misc	competitive-platform-analysis	pending		
skill	skill:misc	competitive-report-structure	pending		
skill	skill:eng-lang	compose-multiplatform-patterns	pending		
skill	skill:core-skills-mgmt	config-gc	pending		
skill	skill:core-skills-mgmt	configure-ecc	pending		
skill	skill:core-eval	connections-optimizer	pending		
